CAMPUS,DNAME,CNAME,GRADE,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
1902103,CAYUGA ISD,CAYUGA ELEM.,4,6.0,44.0,27.0,13.0
1903102,ELKHART ISD,ELKHART INTERME,4,4.0,93.0,63.0,40.0
1904102,FRANKSTON ISD,FRANKSTON ELEM.,4,26.0,52.0,25.0,15.0
1906102,NECHES ISD,NECHES ELEM.,4,2.0,23.0,9.0,2.0
1907110,PALESTINE ISD,STORY INTERMEDI,4,106.0,143.0,80.0,45.0
1908101,WESTWOOD ISD,WESTWOOD ELEM.,4,46.0,72.0,49.0,24.0
1909101,SLOCUM ISD,SLOCUM PRE-K -,4,6.0,20.0,5.0,1.0
2901104,ANDREWS ISD,UNDERWOOD ELEM.,4,93.0,230.0,128.0,73.0
3801103,PINEYWOODS COMM,SARAH STRINDEN,4,7.0,80.0,56.0,35.0
3902102,HUDSON ISD,W.H. BONNER ELE,4,47.0,184.0,97.0,58.0
3903120,LUFKIN ISD,ANDERSON ELEM.,4,17.0,56.0,33.0,7.0
3903121,LUFKIN ISD,BRANDON ELEM.,4,36.0,92.0,56.0,33.0
3903122,LUFKIN ISD,BROOKHOLLOW ELE,4,39.0,42.0,15.0,2.0
3903123,LUFKIN ISD,COSTON ELEM.,4,23.0,51.0,29.0,15.0
3903129,LUFKIN ISD,SLACK ELEM.,4,31.0,128.0,63.0,25.0
3904102,HUNTINGTON ISD,HUNTINGTON INTE,4,31.0,72.0,42.0,21.0
3905103,DIBOLL ISD,H.G. TEMPLE INT,4,50.0,73.0,37.0,29.0
3906101,ZAVALLA ISD,ZAVALLA ELEM.,4,9.0,19.0,10.0,8.0
3907102,CENTRAL ISD,CENTRAL ELEM.,4,30.0,82.0,47.0,19.0
4901101,ARANSAS COUNTY,FULTON LEARNING,4,54.0,142.0,79.0,44.0
5901101,ARCHER CITY ISD,ARCHER CITY ELE,4,8.0,28.0,23.0,13.0
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,4,19.0,63.0,40.0,20.0
5904101,WINDTHORST ISD,WINDTHORST ELEM,4,1.0,25.0,21.0,17.0
6902101,CLAUDE ISD,CLAUDE ELEM.,4,8.0,17.0,12.0,3.0
7901101,CHARLOTTE ISD,CHARLOTTE ELEM.,4,14.0,24.0,12.0,8.0
7902101,JOURDANTON ISD,JOURDANTON ELEM,4,26.0,87.0,46.0,28.0
7904101,LYTLE ISD,LYTLE ELEM.,4,49.0,88.0,45.0,17.0
7905103,PLEASANTON ISD,PLEASANTON ELEM,4,118.0,167.0,88.0,53.0
7906102,POTEET ISD,POTEET INTERMED,4,45.0,79.0,43.0,23.0
8901102,BELLVILLE ISD,O'BRYANT INTERM,4,51.0,100.0,66.0,26.0
8901105,BELLVILLE ISD,WEST END ELEM.,4,5.0,17.0,8.0,3.0
8902102,SEALY ISD,SELMAN ELEM.,4,22.0,79.0,50.0,33.0
8902104,SEALY ISD,SEALY ELEM.,4,45.0,59.0,22.0,11.0
8903102,BRAZOS ISD,BRAZOS ELEM.,4,13.0,36.0,19.0,10.0
8903103,BRAZOS ISD,PRAIRIE HARBOR,4,,,,
9901101,MULESHOE ISD,MARY DESHAZO EL,4,55.0,56.0,29.0,17.0
10901001,MEDINA ISD,MEDINA SCHOOL,4,8.0,8.0,2.0,1.0
10902101,BANDERA ISD,ALKEK ELEM.,4,24.0,64.0,31.0,18.0
10902102,BANDERA ISD,HILL COUNTRY EL,4,23.0,46.0,20.0,11.0
11901101,BASTROP ISD,EMILE ELEM.,4,43.0,93.0,60.0,31.0
11901102,BASTROP ISD,MINA ELEM.,4,25.0,116.0,80.0,53.0
11901103,BASTROP ISD,CEDAR CREEK ELE,4,50.0,100.0,63.0,44.0
11901107,BASTROP ISD,RED ROCK ELEM.,4,35.0,86.0,40.0,17.0
11901109,BASTROP ISD,BLUEBONNET ELEM,4,44.0,118.0,73.0,40.0
11901110,BASTROP ISD,LOST PINES ELEM,4,41.0,79.0,47.0,25.0
11902101,ELGIN ISD,BOOKER T. WASHI,4,51.0,61.0,28.0,10.0
11902102,ELGIN ISD,ELGIN ELEM.,4,39.0,57.0,33.0,20.0
11902103,ELGIN ISD,NEIDIG ELEM.,4,54.0,42.0,16.0,4.0
